Disease,CNN_AUROC,CNN_CI_Lower,CNN_CI_Upper,GAT_AUROC,GAT_CI_Lower,GAT_CI_Upper,DeLong_Z,DeLong_P,Significant,GAT_Better
Atelectasis,0.5878,0.5207,0.6556,0.5493,0.4777,0.6184,-0.141,0.8876,False,False
Cardiomegaly,0.5024,0.4245,0.5795,0.4553,0.3807,0.5322,-0.102,0.9189,False,False
Consolidation,0.4586,0.3624,0.5585,0.4032,0.3193,0.4898,-0.057,0.9548,False,False
Edema,0.6276,0.4781,0.7655,0.6418,0.4942,0.7793,0.008,0.9938,False,True
Effusion,0.5249,0.4598,0.59,0.4999,0.4341,0.5673,-0.127,0.8991,False,False
Emphysema,0.4424,0.3474,0.5416,0.4528,0.3608,0.5477,0.015,0.9878,False,True
Fibrosis,0.5348,0.4282,0.6382,0.5428,0.4247,0.6544,0.005,0.996,False,True
Hernia,0.88,0.8583,0.9014,0.9121,0.893,0.9311,,,False,True
Infiltration,0.4898,0.4386,0.5426,0.4735,0.4218,0.5261,-0.15,0.8804,False,False
Mass,0.4675,0.3688,0.5711,0.4059,0.3077,0.5097,-0.071,0.9432,False,False
Nodule,0.652,0.5516,0.7436,0.6461,0.5442,0.7422,-0.004,0.9965,False,False
Pneumonia,0.3186,0.138,0.5072,0.4048,0.1964,0.6303,0.011,0.9912,False,True
Pneumothorax,0.4416,0.3614,0.5244,0.4351,0.355,0.5178,-0.014,0.9892,False,False
No Finding,0.4916,0.452,0.5299,0.4911,0.4522,0.5302,-0.008,0.994,False,False
