stage,epoch,train_loss,val_loss,val_auroc
1,1,0.412,0.1981,0.4795
1,2,0.2627,0.1919,0.4853
1,3,0.2417,0.1934,0.4927
1,4,0.2314,0.187,0.4894
1,5,0.2278,0.1906,0.4913
1,6,0.2242,0.1865,0.4951
1,7,0.2186,0.1862,0.4972
1,8,0.218,0.1876,0.4966
1,9,0.215,0.1856,0.4986
1,10,0.2138,0.1876,0.496
1,11,0.2144,0.1865,0.4947
1,12,0.2127,0.1936,0.4905
1,13,0.2127,0.1847,0.4937
1,14,0.2118,0.1855,0.4915
1,15,0.2108,0.1847,0.4913
1,16,0.2107,0.1847,0.4893
1,17,0.2108,0.1855,0.4885
2,1,0.2141,0.1859,0.4977
2,2,0.2107,0.1862,0.4971
2,3,0.211,0.1866,0.4963
2,4,0.2098,0.1869,0.4958
2,5,0.2095,0.1871,0.4956
